File Name,Fourth Column Value
clang_O1_exec_auto_youtube_results.txt,0.0170
clang_O1_exec_auto_youtube_results.txt,0.0178
clang_O1_exec_auto_youtube_results.txt,0.0163
clang_O1_exec_auto_youtube_results.txt,0.0167
clang_O1_exec_auto_youtube_results.txt,0.0163
clang_O1_exec_auto_youtube_results.txt,0.0160
clang_O1_exec_auto_youtube_results.txt,0.0150
clang_O1_exec_auto_youtube_results.txt,0.0153
clang_O1_exec_auto_youtube_results.txt,0.0179
clang_O1_exec_auto_youtube_results.txt,0.0160
clang_O1_exec_auto_youtube_results.txt,0.0154
clang_O1_exec_auto_youtube_results.txt,0.0180
clang_O1_exec_auto_youtube_results.txt,0.0149
clang_O1_exec_auto_youtube_results.txt,0.0162
clang_O1_exec_auto_youtube_results.txt,0.0153
clang_O1_exec_dynamic_liveJournal_results.txt,0.0857
clang_O1_exec_dynamic_liveJournal_results.txt,0.0806
clang_O1_exec_dynamic_liveJournal_results.txt,0.0900
clang_O1_exec_dynamic_liveJournal_results.txt,0.0829
clang_O1_exec_dynamic_liveJournal_results.txt,0.0804
clang_O1_exec_dynamic_liveJournal_results.txt,0.0806
clang_O1_exec_dynamic_liveJournal_results.txt,0.0842
clang_O1_exec_dynamic_liveJournal_results.txt,0.0873
clang_O1_exec_dynamic_liveJournal_results.txt,0.0809
clang_O1_exec_dynamic_liveJournal_results.txt,0.0840
clang_O1_exec_dynamic_liveJournal_results.txt,0.0816
clang_O1_exec_dynamic_liveJournal_results.txt,0.0808
clang_O1_exec_dynamic_liveJournal_results.txt,0.0843
clang_O1_exec_dynamic_liveJournal_results.txt,0.0801
clang_O1_exec_dynamic_liveJournal_results.txt,0.0836
clang_O1_exec_dynamic_liveJournal_results.txt,0.0801
clang_O1_exec_dynamic_liveJournal_results.txt,0.0800
clang_O1_exec_dynamic_liveJournal_results.txt,0.0806
clang_O1_exec_dynamic_liveJournal_results.txt,0.2484
clang_O1_exec_dynamic_liveJournal_results.txt,0.1959
clang_O1_exec_dynamic_orkut_results.txt,0.7342
clang_O1_exec_dynamic_orkut_results.txt,0.7076
clang_O1_exec_dynamic_orkut_results.txt,0.7106
clang_O1_exec_dynamic_orkut_results.txt,0.7034
clang_O1_exec_dynamic_orkut_results.txt,0.7879
clang_O1_exec_dynamic_orkut_results.txt,0.7216
clang_O1_exec_dynamic_orkut_results.txt,0.7755
clang_O1_exec_dynamic_orkut_results.txt,0.7300
clang_O1_exec_dynamic_orkut_results.txt,0.7061
clang_O1_exec_dynamic_orkut_results.txt,0.7080
clang_O1_exec_dynamic_orkut_results.txt,0.8128
clang_O1_exec_dynamic_orkut_results.txt,0.7780
clang_O1_exec_dynamic_orkut_results.txt,0.7479
clang_O1_exec_dynamic_orkut_results.txt,0.7481
clang_O1_exec_dynamic_orkut_results.txt,0.7145
clang_O1_exec_dynamic_orkut_results.txt,0.7149
clang_O1_exec_dynamic_orkut_results.txt,0.7620
clang_O1_exec_dynamic_orkut_results.txt,0.7273
clang_O1_exec_dynamic_orkut_results.txt,0.7651
clang_O1_exec_dynamic_orkut_results.txt,0.7406
clang_O1_exec_dynamic_youtube_results.txt,0.1104
clang_O1_exec_dynamic_youtube_results.txt,0.0638
clang_O1_exec_dynamic_youtube_results.txt,0.0592
clang_O1_exec_dynamic_youtube_results.txt,0.0850
clang_O1_exec_dynamic_youtube_results.txt,0.0532
clang_O1_exec_dynamic_youtube_results.txt,0.0558
clang_O1_exec_dynamic_youtube_results.txt,0.0577
clang_O1_exec_dynamic_youtube_results.txt,0.0578
clang_O1_exec_dynamic_youtube_results.txt,0.0559
clang_O1_exec_dynamic_youtube_results.txt,0.0626
clang_O1_exec_dynamic_youtube_results.txt,0.0960
clang_O1_exec_dynamic_youtube_results.txt,0.0574
clang_O1_exec_dynamic_youtube_results.txt,0.0554
clang_O1_exec_dynamic_youtube_results.txt,0.0561
clang_O1_exec_dynamic_youtube_results.txt,0.0562
clang_O1_exec_dynamic_youtube_results.txt,0.0566
clang_O1_exec_dynamic_youtube_results.txt,0.0594
clang_O1_exec_dynamic_youtube_results.txt,0.0559
clang_O1_exec_dynamic_youtube_results.txt,0.0617
clang_O1_exec_dynamic_youtube_results.txt,0.0638
clang_O1_exec_guided_liveJournal_results.txt,0.0971
clang_O1_exec_guided_liveJournal_results.txt,0.0945
clang_O1_exec_guided_liveJournal_results.txt,0.1015
clang_O1_exec_guided_liveJournal_results.txt,0.1133
clang_O1_exec_guided_liveJournal_results.txt,0.0998
clang_O1_exec_guided_liveJournal_results.txt,0.1014
clang_O1_exec_guided_liveJournal_results.txt,0.1029
clang_O1_exec_guided_liveJournal_results.txt,0.0984
clang_O1_exec_guided_liveJournal_results.txt,0.0804
clang_O1_exec_guided_liveJournal_results.txt,0.1059
clang_O1_exec_guided_liveJournal_results.txt,0.0831
clang_O1_exec_guided_liveJournal_results.txt,0.0838
clang_O1_exec_guided_liveJournal_results.txt,0.0949
clang_O1_exec_guided_liveJournal_results.txt,0.0822
clang_O1_exec_guided_liveJournal_results.txt,0.0819
clang_O1_exec_guided_liveJournal_results.txt,0.0808
clang_O1_exec_guided_liveJournal_results.txt,0.0811
clang_O1_exec_guided_liveJournal_results.txt,0.0794
clang_O1_exec_guided_liveJournal_results.txt,0.0804
clang_O1_exec_guided_liveJournal_results.txt,0.0832
clang_O1_exec_guided_orkut_results.txt,0.1792
clang_O1_exec_guided_orkut_results.txt,0.1816
clang_O1_exec_guided_orkut_results.txt,0.1924
clang_O1_exec_guided_orkut_results.txt,0.1974
clang_O1_exec_guided_orkut_results.txt,0.1959
clang_O1_exec_guided_orkut_results.txt,0.1981
clang_O1_exec_guided_orkut_results.txt,0.1976
clang_O1_exec_guided_orkut_results.txt,0.1931
clang_O1_exec_guided_orkut_results.txt,0.1981
clang_O1_exec_guided_orkut_results.txt,0.1976
clang_O1_exec_guided_orkut_results.txt,0.1972
clang_O1_exec_guided_orkut_results.txt,0.1985
clang_O1_exec_guided_orkut_results.txt,0.1988
clang_O1_exec_guided_orkut_results.txt,0.2025
clang_O1_exec_guided_orkut_results.txt,0.2021
clang_O1_exec_guided_orkut_results.txt,0.1821
clang_O1_exec_guided_orkut_results.txt,0.2147
clang_O1_exec_guided_orkut_results.txt,0.1987
clang_O1_exec_guided_orkut_results.txt,0.1992
clang_O1_exec_guided_orkut_results.txt,0.2800
clang_O1_exec_guided_youtube_results.txt,0.0467
clang_O1_exec_guided_youtube_results.txt,0.0677
clang_O1_exec_guided_youtube_results.txt,0.0178
clang_O1_exec_guided_youtube_results.txt,0.0147
clang_O1_exec_guided_youtube_results.txt,0.0150
clang_O1_exec_guided_youtube_results.txt,0.0182
clang_O1_exec_guided_youtube_results.txt,0.0176
clang_O1_exec_guided_youtube_results.txt,0.0166
clang_O1_exec_guided_youtube_results.txt,0.0156
clang_O1_exec_guided_youtube_results.txt,0.0178
clang_O1_exec_guided_youtube_results.txt,0.0156
clang_O1_exec_guided_youtube_results.txt,0.0157
clang_O1_exec_guided_youtube_results.txt,0.0183
clang_O1_exec_guided_youtube_results.txt,0.0154
clang_O1_exec_guided_youtube_results.txt,0.0149
clang_O1_exec_guided_youtube_results.txt,0.0189
clang_O1_exec_guided_youtube_results.txt,0.0151
clang_O1_exec_guided_youtube_results.txt,0.0159
clang_O1_exec_guided_youtube_results.txt,0.0162
clang_O1_exec_guided_youtube_results.txt,0.0156
clang_O1_exec_static_liveJournal_results.txt,0.1851
clang_O1_exec_static_liveJournal_results.txt,0.2225
clang_O1_exec_static_liveJournal_results.txt,0.1809
clang_O1_exec_static_liveJournal_results.txt,0.2312
clang_O1_exec_static_liveJournal_results.txt,0.1422
clang_O1_exec_static_liveJournal_results.txt,0.1858
clang_O1_exec_static_liveJournal_results.txt,0.1798
clang_O1_exec_static_liveJournal_results.txt,0.1912
clang_O1_exec_static_liveJournal_results.txt,0.1845
clang_O1_exec_static_liveJournal_results.txt,0.1943
clang_O1_exec_static_liveJournal_results.txt,0.1802
clang_O1_exec_static_liveJournal_results.txt,0.1924
clang_O1_exec_static_liveJournal_results.txt,0.2027
clang_O1_exec_static_liveJournal_results.txt,0.1564
clang_O1_exec_static_liveJournal_results.txt,0.1808
clang_O1_exec_static_liveJournal_results.txt,0.1839
clang_O1_exec_static_liveJournal_results.txt,0.1982
clang_O1_exec_static_liveJournal_results.txt,0.2003
clang_O1_exec_static_liveJournal_results.txt,0.2002
clang_O1_exec_static_liveJournal_results.txt,0.1414
clang_O1_exec_static_orkut_results.txt,0.7461
clang_O1_exec_static_orkut_results.txt,0.9276
clang_O1_exec_static_orkut_results.txt,0.7794
clang_O1_exec_static_orkut_results.txt,0.7702
clang_O1_exec_static_orkut_results.txt,0.7684
clang_O1_exec_static_orkut_results.txt,0.7900
clang_O1_exec_static_orkut_results.txt,1.0169
clang_O1_exec_static_orkut_results.txt,0.7295
clang_O1_exec_static_orkut_results.txt,0.7189
clang_O1_exec_static_orkut_results.txt,0.7393
clang_O1_exec_static_orkut_results.txt,0.7568
clang_O1_exec_static_orkut_results.txt,0.7573
clang_O1_exec_static_orkut_results.txt,0.7832
clang_O1_exec_static_orkut_results.txt,0.7466
clang_O1_exec_static_orkut_results.txt,0.7742
clang_O1_exec_static_orkut_results.txt,0.8001
clang_O1_exec_static_orkut_results.txt,0.7492
clang_O1_exec_static_orkut_results.txt,0.7845
clang_O1_exec_static_orkut_results.txt,0.7592
clang_O1_exec_static_orkut_results.txt,0.7421
clang_O1_exec_static_youtube_results.txt,0.0969
clang_O1_exec_static_youtube_results.txt,0.0580
clang_O1_exec_static_youtube_results.txt,0.0619
clang_O1_exec_static_youtube_results.txt,0.0575
clang_O1_exec_static_youtube_results.txt,0.0564
clang_O1_exec_static_youtube_results.txt,0.0584
clang_O1_exec_static_youtube_results.txt,0.0542
clang_O1_exec_static_youtube_results.txt,0.0548
clang_O1_exec_static_youtube_results.txt,0.0621
clang_O1_exec_static_youtube_results.txt,0.0629
clang_O1_exec_static_youtube_results.txt,0.0549
clang_O1_exec_static_youtube_results.txt,0.0543
clang_O1_exec_static_youtube_results.txt,0.0566
clang_O1_exec_static_youtube_results.txt,0.0596
clang_O1_exec_static_youtube_results.txt,0.0594
clang_O1_exec_static_youtube_results.txt,0.0590
clang_O1_exec_static_youtube_results.txt,0.0531
clang_O1_exec_static_youtube_results.txt,0.0556
clang_O1_exec_static_youtube_results.txt,0.0561
clang_O1_exec_static_youtube_results.txt,0.0614
clang_O2_exec_auto_liveJournal_results.txt,0.0681
clang_O2_exec_auto_liveJournal_results.txt,0.0649
clang_O2_exec_auto_liveJournal_results.txt,0.0645
clang_O2_exec_auto_liveJournal_results.txt,0.0669
clang_O2_exec_auto_liveJournal_results.txt,0.0667
clang_O2_exec_auto_liveJournal_results.txt,0.0653
clang_O2_exec_auto_liveJournal_results.txt,0.0670
clang_O2_exec_auto_liveJournal_results.txt,0.0679
clang_O2_exec_auto_liveJournal_results.txt,0.0656
clang_O2_exec_auto_liveJournal_results.txt,0.0657
clang_O2_exec_auto_liveJournal_results.txt,0.0659
clang_O2_exec_auto_liveJournal_results.txt,0.0668
clang_O2_exec_auto_liveJournal_results.txt,0.0654
clang_O2_exec_auto_liveJournal_results.txt,0.0643
clang_O2_exec_auto_liveJournal_results.txt,0.0644
clang_O2_exec_auto_liveJournal_results.txt,0.0663
clang_O2_exec_auto_liveJournal_results.txt,0.0653
clang_O2_exec_auto_liveJournal_results.txt,0.0647
clang_O2_exec_auto_liveJournal_results.txt,0.0651
clang_O2_exec_auto_liveJournal_results.txt,0.0655
clang_O2_exec_auto_orkut_results.txt,0.1771
clang_O2_exec_auto_orkut_results.txt,0.1833
clang_O2_exec_auto_orkut_results.txt,0.1860
clang_O2_exec_auto_orkut_results.txt,0.1814
clang_O2_exec_auto_orkut_results.txt,0.1843
clang_O2_exec_auto_orkut_results.txt,0.1808
clang_O2_exec_auto_orkut_results.txt,0.1792
clang_O2_exec_auto_orkut_results.txt,0.1841
clang_O2_exec_auto_orkut_results.txt,0.1830
clang_O2_exec_auto_orkut_results.txt,0.1779
clang_O2_exec_auto_orkut_results.txt,0.1832
clang_O2_exec_auto_orkut_results.txt,0.1807
clang_O2_exec_auto_orkut_results.txt,0.1858
clang_O2_exec_auto_orkut_results.txt,0.1864
clang_O2_exec_auto_orkut_results.txt,0.1824
clang_O2_exec_auto_orkut_results.txt,0.1825
clang_O2_exec_auto_orkut_results.txt,0.1827
clang_O2_exec_auto_orkut_results.txt,0.1826
